bici_estacion_origen,bici_estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada
142,17,5187030,00:58:58,00:12:27,01:11:25
33,111,5751430,00:43:17,00:28:46,01:12:03
5,89,5440160,01:02:32,00:11:26,01:13:58
28,28,6443330,00:32:15,00:42:45,01:15:00
59,89,5440160,01:05:20,00:09:52,01:15:12
124,30,5751430,00:29:34,00:48:03,01:17:37
29,17,5187030,01:07:32,00:11:00,01:18:32
67,87,6109620,01:04:58,00:13:35,01:18:33
154,110,4595530,01:01:01,00:19:32,01:20:33
100,113,5925780,01:07:39,00:16:18,01:23:57
194,194,5377800,00:48:03,00:38:32,01:26:35
182,158,5945340,01:12:23,00:16:57,01:29:20
20,142,5097280,01:20:48,00:09:02,01:29:50
88,88,5965780,01:26:34,00:05:47,01:32:21
184,184,6109620,01:21:44,00:12:34,01:34:18
193,5,5735920,01:20:58,00:13:42,01:34:40
142,142,5187030,00:55:06,00:40:44,01:35:50
58,168,5731900,00:44:21,00:51:51,01:36:12
134,89,5440160,01:15:49,00:26:28,01:42:17
154,9,4595530,00:53:07,00:55:20,01:48:27
8,117,1895160,01:03:00,00:45:42,01:48:42
104,9,5112170,01:15:58,00:38:20,01:54:18
100,12,5925780,01:18:17,00:38:05,01:56:22
70,17,5187030,01:47:27,00:11:05,01:58:32
200,47,1895160,01:12:55,00:45:50,01:58:45
70,17,5187030,01:46:21,00:12:41,01:59:02
142,17,5187030,01:47:30,00:12:21,01:59:51
54,17,5187030,02:00:14,00:07:14,02:07:28
70,17,5187030,01:55:55,00:14:44,02:10:39
69,47,1895160,01:45:44,00:25:21,02:11:05
188,89,5440160,01:41:32,00:30:11,02:11:43
58,8,6042050,01:34:41,00:39:02,02:13:43
183,183,4300980,01:57:49,00:18:02,02:15:51
73,72,1895160,02:00:05,00:17:51,02:17:56
183,183,4300980,02:10:49,00:14:52,02:25:41
70,17,5187030,02:14:45,00:11:24,02:26:09
54,17,5187030,02:19:01,00:07:12,02:26:13
105,140,6109620,02:15:28,00:12:38,02:28:06
69,72,1895160,02:10:26,00:19:17,02:29:43
85,9,5572600,02:14:04,00:19:36,02:33:40
17,17,5187030,02:18:50,00:15:42,02:34:32
74,74,5187030,02:15:46,00:18:59,02:34:45
88,91,6434870,02:24:08,00:13:30,02:37:38
21,146,6434870,02:08:10,00:29:35,02:37:45
154,64,4595530,01:02:24,01:47:44,02:50:08
9,5,5112170,02:01:30,00:54:47,02:56:17
141,89,5440160,02:37:57,00:20:27,02:58:24
74,17,5187030,02:43:24,00:19:03,03:02:27
188,89,5440160,02:41:22,00:31:06,03:12:28
158,188,5945340,02:40:25,00:33:47,03:14:12
183,183,4300980,03:06:22,00:10:32,03:16:54
167,67,6109620,02:45:51,00:33:25,03:19:16
84,146,6434870,03:15:59,00:23:15,03:39:14
69,47,1895160,03:22:41,00:18:28,03:41:09
67,184,6109620,03:25:35,00:16:35,03:42:10
58,39,6042050,03:04:57,00:38:14,03:43:11
14,29,5945340,02:27:43,01:17:43,03:45:26
69,47,1895160,03:31:52,00:18:55,03:50:47
9,50,4595530,01:57:03,01:58:58,03:56:01
58,8,6042050,03:29:15,00:27:40,03:56:55
124,47,1895160,03:43:07,00:31:04,04:14:11
29,17,5187030,04:03:05,00:12:34,04:15:39
58,8,6042050,03:50:36,00:31:54,04:22:30
120,72,1895160,04:11:52,00:11:58,04:23:50
58,8,6042050,04:01:22,00:27:18,04:28:40
58,8,6042050,04:02:12,00:29:22,04:31:34
125,12,5925780,04:09:03,00:24:17,04:33:20
64,9,4595530,02:56:11,01:39:31,04:35:42
106,13,3126850,04:36:36,00:08:16,04:44:52
9,12,5925780,04:32:43,00:13:25,04:46:08
50,5,4595530,04:01:45,00:45:06,04:46:51
106,13,3126850,04:38:14,00:08:40,04:46:54
106,13,3126850,04:40:15,00:08:57,04:49:12
58,58,6042050,04:45:06,00:06:44,04:51:50
8,148,5731900,04:40:09,00:12:12,04:52:21
106,130,3126850,04:29:59,00:23:14,04:53:13
59,12,5925780,04:39:41,00:14:39,04:54:20
99,12,5925780,04:15:58,00:39:57,04:55:55
106,13,3126850,04:49:30,00:09:09,04:58:39
106,13,3126850,04:53:49,00:08:15,05:02:04
106,13,3126850,04:55:19,00:07:54,05:03:13
58,8,6042050,04:36:05,00:30:12,05:06:17
106,58,3126850,04:35:10,00:31:11,05:06:21
67,184,6109620,04:52:11,00:14:33,05:06:44
106,58,3126850,04:39:24,00:32:05,05:11:29
91,91,3126850,05:05:55,00:05:53,05:11:48
93,13,3126850,05:02:15,00:10:59,05:13:14
106,13,3126850,05:06:17,00:07:52,05:14:09
73,72,1895160,04:58:31,00:15:57,05:14:28
93,44,3126850,04:53:35,00:28:57,05:22:32
148,150,6054000,05:14:48,00:10:01,05:24:49
5,154,4595530,04:53:26,00:34:28,05:27:54
148,150,6054000,05:14:30,00:14:22,05:28:52
106,44,3126850,05:01:49,00:30:36,05:32:25
106,44,3126850,05:07:51,00:28:59,05:36:50
183,183,4300980,05:22:47,00:17:47,05:40:34
93,44,3126850,05:08:06,00:35:32,05:43:38
29,17,5187030,05:33:17,00:20:46,05:54:03
183,183,4300980,05:30:12,00:24:04,05:54:16
183,183,4300980,05:38:35,00:19:52,05:58:27
58,8,6042050,04:57:23,01:05:14,06:02:37
183,183,4300980,05:49:59,00:15:10,06:05:09
29,17,5187030,05:54:57,00:11:59,06:06:56
163,106,3126850,06:18:19,00:10:07,06:28:26
13,106,3126850,06:21:57,00:09:40,06:31:37
124,12,5925780,06:14:34,00:20:00,06:34:34
13,93,3126850,06:24:40,00:13:46,06:38:26
45,178,3502890,06:11:34,00:27:55,06:39:29
13,93,3126850,06:26:49,00:13:47,06:40:36
111,111,5520960,06:24:22,00:17:05,06:41:27
163,93,3126850,06:31:23,00:13:35,06:44:58
154,50,4595530,06:35:52,00:10:48,06:46:40
45,32,3502890,06:41:21,00:07:14,06:48:35
50,154,4595530,06:36:09,00:12:36,06:48:45
38,72,1895160,06:35:20,00:13:40,06:49:00
58,148,5731900,06:18:14,00:32:58,06:51:12
199,47,1895160,05:57:50,00:54:17,06:52:07
147,67,6061070,06:29:29,00:23:17,06:52:46
106,13,3126850,06:44:33,00:08:39,06:53:12
147,67,6061070,06:31:37,00:22:40,06:54:17
95,104,5955230,06:25:01,00:29:25,06:54:26
126,3,1764650,06:36:15,00:18:33,06:54:48
36,104,5955230,06:27:37,00:28:35,06:56:12
45,32,3502890,06:49:10,00:07:24,06:56:34
185,72,1895160,06:32:07,00:24:56,06:57:03
45,32,3502890,06:47:11,00:10:14,06:57:25
147,67,6061070,06:35:29,00:22:44,06:58:13
11,32,3502890,06:52:53,00:07:15,07:00:08
45,32,3502890,06:52:06,00:08:25,07:00:31
147,67,6061070,06:38:19,00:23:06,07:01:25
14,47,1895160,06:09:45,00:51:59,07:01:44
109,20,5097280,06:55:31,00:11:13,07:06:44
163,93,3126850,06:35:09,00:40:20,07:15:29
32,148,3502890,07:04:40,00:17:52,07:22:32
32,148,3502890,07:09:32,00:18:35,07:28:07
183,183,4300980,07:13:01,00:18:50,07:31:51
131,93,3126850,07:08:23,00:29:01,07:37:24
32,193,3502890,06:54:35,00:43:21,07:37:56
194,33,5965780,07:20:16,00:20:07,07:40:23
67,67,6061070,06:53:36,00:54:15,07:47:51
194,33,5965780,07:25:42,00:22:21,07:48:03
9,154,4595530,05:13:27,02:34:56,07:48:23
75,141,6394240,07:45:13,00:07:51,07:53:04
194,174,5965780,07:28:11,00:25:28,07:53:39
116,141,6248700,07:34:23,00:20:06,07:54:29
164,1,5023190,07:27:50,00:27:34,07:55:24
160,189,2872630,07:34:46,00:21:32,07:56:18
175,171,5664960,07:47:16,00:09:24,07:56:40
116,141,6248700,07:38:08,00:19:14,07:57:22
47,1,5023190,07:34:48,00:23:41,07:58:29
160,189,2872630,07:41:41,00:19:33,08:01:14
194,33,5965780,07:45:06,00:16:24,08:01:30
116,59,5810010,07:53:50,00:12:03,08:05:53
93,118,3126850,07:58:10,00:08:28,08:06:38
193,8,6248700,07:41:31,00:26:05,08:07:36
11,11,4989090,07:42:48,00:24:50,08:07:38
28,184,6109620,07:50:07,00:18:32,08:08:39
113,20,5097280,07:59:17,00:09:39,08:08:56
116,23,5664250,07:48:10,00:22:10,08:10:20
116,141,6248700,07:50:13,00:20:15,08:10:28
116,23,5664250,07:48:40,00:22:18,08:10:58
17,142,5187030,08:00:28,00:11:33,08:12:01
161,142,5187030,08:05:14,00:10:12,08:15:26
193,34,5664250,07:54:30,00:22:22,08:16:52
81,1,5023190,07:48:41,00:28:27,08:17:08
146,146,5095550,08:11:50,00:05:18,08:17:08
193,34,5664250,07:56:30,00:21:43,08:18:13
126,3,1764650,07:57:52,00:20:48,08:18:40
17,36,5187030,07:52:32,00:26:19,08:18:51
81,81,5170700,07:58:16,00:21:00,08:19:16
193,34,5664250,08:02:20,00:19:45,08:22:05
150,50,6200670,07:25:45,00:58:06,08:23:51
193,34,5664250,08:05:30,00:20:28,08:25:58
116,141,6248700,08:06:10,00:20:53,08:27:03
116,141,6248700,08:04:08,00:24:57,08:29:05
8,7,5783160,08:21:47,00:07:52,08:29:39
167,13,3892850,08:11:55,00:18:04,08:29:59
193,34,5664250,08:12:38,00:18:42,08:31:20
117,33,5170700,08:00:36,00:31:23,08:31:59
116,23,5664250,08:12:22,00:19:40,08:32:02
45,93,3126850,08:11:32,00:21:19,08:32:51
57,131,1895160,08:21:40,00:13:19,08:34:59
146,21,5095550,08:24:08,00:11:05,08:35:13
72,6,1895160,08:20:34,00:16:26,08:37:00
104,104,5529760,08:31:00,00:06:26,08:37:26
35,8,3892850,08:16:14,00:21:21,08:37:35
25,89,4883640,08:26:59,00:10:58,08:37:57
31,141,6076460,07:52:48,00:45:47,08:38:35
112,61,6244540,08:35:12,00:07:32,08:42:44
2,4,6044850,08:32:54,00:10:01,08:42:55
98,27,5836690,08:30:48,00:13:01,08:43:49
28,21,5095550,08:19:53,00:24:18,08:44:11
84,88,5529760,08:34:35,00:12:24,08:46:59
131,29,3892850,08:00:42,00:46:18,08:47:00
98,27,5836690,08:30:12,00:16:58,08:47:10
98,27,5836690,08:29:20,00:18:12,08:47:32
182,125,5735920,08:41:25,00:07:26,08:48:51
112,61,6244540,08:42:12,00:07:21,08:49:33
84,88,5529760,08:35:30,00:14:05,08:49:35
84,88,5529760,08:35:45,00:13:54,08:49:39
98,174,5836690,08:32:40,00:17:27,08:50:07
98,27,5836690,08:32:43,00:18:09,08:50:52
84,88,5529760,08:37:49,00:13:48,08:51:37
24,61,6244540,08:44:20,00:07:19,08:51:39
98,27,5836690,08:36:15,00:16:16,08:52:31
84,88,5529760,08:40:33,00:11:58,08:52:31
166,12,5551600,08:43:43,00:08:57,08:52:40
84,88,5529760,08:39:27,00:13:30,08:52:57
84,88,5529760,08:37:34,00:15:31,08:53:05
84,88,5529760,08:41:30,00:11:36,08:53:06
84,88,5529760,08:41:26,00:11:55,08:53:21
84,88,5529760,08:40:43,00:13:06,08:53:49
98,27,5836690,08:37:49,00:16:11,08:54:00
84,88,5529760,08:42:20,00:12:24,08:54:44
84,88,5529760,08:45:01,00:09:54,08:54:55
24,27,5836690,08:36:53,00:18:09,08:55:02
84,88,5529760,08:42:38,00:12:38,08:55:16
84,88,5529760,08:41:57,00:13:24,08:55:21
98,174,5836690,08:34:38,00:21:02,08:55:40
98,27,5836690,08:40:29,00:15:11,08:55:40
84,88,5529760,08:42:02,00:13:45,08:55:47
98,27,5836690,08:36:34,00:19:18,08:55:52
84,88,5529760,08:44:20,00:12:14,08:56:34
13,86,4994100,08:31:05,00:25:30,08:56:35
84,88,5529760,08:43:59,00:12:43,08:56:42
84,88,5529760,08:44:22,00:12:24,08:56:46
84,75,5529760,08:40:07,00:16:45,08:56:52
84,88,5529760,08:44:28,00:12:38,08:57:06
84,88,5529760,08:46:01,00:11:29,08:57:30
166,44,5551600,08:43:08,00:14:37,08:57:45
84,88,5529760,08:43:52,00:13:56,08:57:48
84,88,5529760,08:46:43,00:11:53,08:58:36
84,88,5529760,08:46:54,00:11:49,08:58:43
84,88,5529760,08:47:31,00:11:18,08:58:49
84,88,5529760,08:46:08,00:12:49,08:58:57
84,88,5529760,08:45:16,00:13:56,08:59:12
33,194,5965780,08:41:45,00:17:43,08:59:28
84,88,5529760,08:46:17,00:13:29,08:59:46
98,27,5836690,08:46:48,00:13:14,09:00:02
114,97,3892850,08:08:25,00:51:41,09:00:06
84,88,5529760,08:48:56,00:11:11,09:00:07
84,88,5529760,08:48:25,00:11:45,09:00:10
166,78,5551600,08:45:29,00:14:57,09:00:26
84,88,5529760,08:48:13,00:12:18,09:00:31
84,88,5529760,08:45:11,00:15:37,09:00:48
57,32,5494160,08:26:01,00:34:52,09:00:53
76,88,5529760,08:52:13,00:08:58,09:01:11
84,88,5529760,08:48:40,00:12:48,09:01:28
84,88,5529760,08:46:43,00:15:19,09:02:02
76,88,5529760,08:52:23,00:09:54,09:02:17
193,23,5664250,08:43:07,00:19:53,09:03:00
76,88,5529760,08:54:55,00:08:28,09:03:23
84,88,5529760,08:49:45,00:13:58,09:03:43
98,27,5836690,08:50:39,00:13:09,09:03:48
127,54,6155360,08:39:47,00:24:07,09:03:54
84,88,5529760,08:53:02,00:10:53,09:03:55
98,27,5836690,08:44:52,00:19:04,09:03:56
88,45,6394240,08:47:59,00:17:34,09:05:33
84,88,5529760,08:55:10,00:10:50,09:06:00
149,27,5836690,08:47:55,00:19:26,09:07:21
149,27,5836690,08:52:09,00:17:06,09:09:15
18,27,5836690,08:47:22,00:21:57,09:09:19
116,193,6248700,08:51:02,00:18:54,09:09:56
157,146,5882120,08:56:44,00:13:35,09:10:19
18,27,5836690,08:51:49,00:19:11,09:11:00
194,163,5377800,09:01:40,00:13:25,09:15:05
193,23,5664250,08:39:20,00:36:06,09:15:26
117,27,5836690,08:50:54,00:25:31,09:16:25
68,32,5126030,09:09:52,00:07:38,09:17:30
98,174,5836690,08:57:47,00:20:31,09:18:18
148,68,6237220,08:54:04,00:25:19,09:19:23
78,36,5551600,09:03:07,00:17:55,09:21:02
163,45,6394240,09:04:01,00:17:12,09:21:13
84,88,5529760,09:11:55,00:09:40,09:21:35
12,78,5551600,09:15:40,00:07:28,09:23:08
44,64,5551600,09:09:36,00:16:44,09:26:20
4,26,4917160,09:18:10,00:10:27,09:28:37
68,32,5126030,09:22:23,00:07:06,09:29:29
157,146,5882120,09:14:22,00:15:44,09:30:06
172,32,5666010,08:58:08,00:32:51,09:30:59
64,175,5551600,09:13:43,00:17:35,09:31:18
31,74,6076460,08:45:01,00:46:39,09:31:40
194,163,5377800,09:09:28,00:25:15,09:34:43
129,20,5097280,09:10:17,00:24:26,09:34:43
83,32,5126030,09:23:14,00:11:51,09:35:05
195,183,4300980,08:52:05,00:45:53,09:37:58
113,113,5313860,09:32:49,00:06:43,09:39:32
73,148,5666010,09:22:30,00:17:58,09:40:28
4,26,4917160,09:31:08,00:10:01,09:41:09
37,11,6112850,09:33:15,00:09:47,09:43:02
49,146,5882120,09:30:28,00:13:33,09:44:01
4,111,4917160,09:33:35,00:12:01,09:45:36
45,93,3126850,09:29:49,00:18:37,09:48:26
33,83,5751430,09:39:10,00:10:36,09:49:46
29,97,3892850,09:25:31,00:24:42,09:50:13
33,33,5751430,08:51:54,00:59:58,09:51:52
84,88,5529760,09:38:47,00:13:14,09:52:01
84,88,5529760,09:41:46,00:10:15,09:52:01
113,12,5313860,09:23:17,00:28:49,09:52:06
68,32,5126030,09:45:11,00:07:40,09:52:51
84,88,5529760,09:40:11,00:14:06,09:54:17
84,88,5529760,09:45:06,00:09:48,09:54:54
68,32,5126030,09:47:28,00:07:36,09:55:04
35,26,4917160,09:47:37,00:07:38,09:55:15
113,12,5313860,09:29:08,00:26:18,09:55:26
72,37,1895160,09:39:01,00:17:10,09:56:11
84,88,5529760,09:46:49,00:10:35,09:57:24
113,12,5313860,09:35:11,00:22:23,09:57:34
84,88,5529760,09:46:54,00:11:18,09:58:12
113,12,5313860,09:36:09,00:22:19,09:58:28
91,163,2796960,08:58:47,00:59:55,09:58:42
113,12,5313860,09:34:21,00:24:35,09:58:56
113,12,5313860,09:36:14,00:22:57,09:59:11
56,12,5313860,09:32:20,00:26:53,09:59:13
148,24,5731900,09:46:31,00:12:43,09:59:14
33,84,3122830,09:52:34,00:07:10,09:59:44
113,12,5313860,09:34:01,00:26:02,10:00:03
113,12,5313860,09:38:09,00:21:59,10:00:08
56,12,5313860,09:33:01,00:27:58,10:00:59
68,32,5126030,09:52:51,00:08:13,10:01:04
113,12,5313860,09:36:51,00:24:37,10:01:28
113,12,5313860,09:35:19,00:26:21,10:01:40
84,88,5529760,09:50:50,00:10:52,10:01:42
68,32,5126030,09:54:46,00:07:23,10:02:09
84,95,5529760,09:49:40,00:12:54,10:02:34
193,141,6248700,09:39:19,00:23:37,10:02:56
4,26,4917160,09:54:14,00:09:14,10:03:28
44,93,3126850,09:17:09,00:48:07,10:05:16
68,32,5126030,09:58:47,00:07:10,10:05:57
68,32,5126030,09:58:46,00:07:36,10:06:22
18,24,5731900,09:54:56,00:13:39,10:08:35
14,14,5338480,10:03:38,00:05:45,10:09:23
89,64,5440160,09:55:54,00:13:37,10:09:31
148,95,5731900,09:39:51,00:30:03,10:09:54
182,89,5735920,09:34:50,00:36:25,10:11:15
148,71,5731900,09:40:40,00:30:48,10:11:28
155,29,5605040,09:26:16,00:45:25,10:11:41
68,32,5126030,10:04:20,00:07:59,10:12:19
68,32,5126030,10:04:52,00:09:38,10:14:30
34,174,5664250,10:02:26,00:12:12,10:14:38
50,76,6200670,08:29:00,01:45:57,10:14:57
103,70,5440160,09:54:19,00:21:23,10:15:42
62,174,5664250,10:07:21,00:10:28,10:17:49
68,32,5126030,10:10:38,00:08:14,10:18:52
34,174,5664250,10:10:07,00:09:29,10:19:36
122,109,5097280,09:41:39,00:39:57,10:21:36
56,12,5313860,09:56:12,00:25:38,10:21:50
114,47,1895160,10:03:07,00:19:04,10:22:11
68,48,5126030,10:12:36,00:09:51,10:22:27
68,32,5126030,10:14:11,00:08:32,10:22:43
193,174,2069250,10:12:14,00:11:15,10:23:29
68,32,5126030,10:15:15,00:08:36,10:23:51
68,32,5126030,10:16:39,00:07:13,10:23:52
68,32,5126030,10:16:00,00:08:01,10:24:01
8,42,5783160,10:15:20,00:09:47,10:25:07
32,81,5494160,09:56:43,00:28:57,10:25:40
146,178,4987430,10:16:01,00:10:00,10:26:01
93,28,5817340,10:18:58,00:07:35,10:26:33
33,2,5751430,09:59:04,00:27:32,10:26:36
191,61,5126030,10:19:08,00:07:56,10:27:04
68,32,5126030,10:18:37,00:09:01,10:27:38
45,33,1622130,10:08:27,00:19:21,10:27:48
95,76,5955230,10:18:07,00:10:00,10:28:07
68,32,5126030,10:21:41,00:07:25,10:29:06
7,7,5783160,09:56:45,00:32:28,10:29:13
195,195,3073820,10:00:00,00:29:45,10:29:45
18,68,5836690,10:13:49,00:16:09,10:29:58
20,109,5097280,10:18:01,00:12:21,10:30:22
68,48,5126030,10:21:10,00:09:29,10:30:39
136,96,6076460,10:06:03,00:24:59,10:31:02
150,131,6200670,10:10:23,00:20:54,10:31:17
68,32,5126030,10:25:22,00:07:32,10:32:54
68,32,5126030,10:26:03,00:07:18,10:33:21
47,57,5731900,10:15:24,00:19:09,10:34:33
68,32,5126030,10:27:07,00:07:40,10:34:47
34,174,5664250,10:18:20,00:17:13,10:35:33
34,174,5664250,10:23:41,00:12:40,10:36:21
34,174,5664250,10:27:00,00:11:56,10:38:56
45,88,6394240,10:25:00,00:14:51,10:39:51
191,191,6042050,10:34:58,00:05:04,10:40:02
4,26,4917160,10:33:07,00:07:20,10:40:27
68,32,5126030,10:32:32,00:08:23,10:40:55
24,135,5731900,10:25:41,00:15:24,10:41:05
127,101,6155360,10:29:03,00:12:13,10:41:16
63,174,5664250,10:30:41,00:11:13,10:41:54
68,32,5126030,10:34:45,00:07:23,10:42:08
27,174,5529760,10:20:15,00:22:48,10:43:03
68,32,5126030,10:35:28,00:08:59,10:44:27
68,32,5126030,10:38:13,00:07:31,10:45:44
34,174,5664250,10:37:32,00:10:01,10:47:33
189,189,2872630,10:15:25,00:32:58,10:48:23
34,174,5664250,10:39:05,00:10:33,10:49:38
62,55,5731900,10:26:31,00:23:53,10:50:24
34,174,5664250,10:39:45,00:10:55,10:50:40
26,79,4917160,10:41:42,00:08:59,10:50:41
137,32,6070370,10:37:05,00:13:40,10:50:45
154,174,5072780,10:34:41,00:18:29,10:53:10
34,174,5664250,10:45:04,00:10:02,10:55:06
87,86,4987430,10:38:42,00:16:51,10:55:33
113,12,5313860,10:30:21,00:25:43,10:56:04
64,70,5925780,10:29:45,00:26:59,10:56:44
68,36,5836690,10:46:08,00:10:39,10:56:47
116,55,5664250,10:33:40,00:23:22,10:57:02
174,4,5664250,10:00:58,00:57:09,10:58:07
6,32,5666010,09:55:52,01:03:12,10:59:04
101,127,6155360,10:48:44,00:10:30,10:59:14
89,190,5440160,10:51:23,00:08:54,11:00:17
193,55,5664250,10:36:00,00:24:28,11:00:28
64,160,5551600,10:41:02,00:19:33,11:00:35
95,83,5955230,10:51:13,00:09:48,11:01:01
27,91,2796960,10:41:21,00:19:58,11:01:19
34,174,5664250,10:47:24,00:16:04,11:03:28
33,91,2796960,10:46:55,00:16:42,11:03:37
63,24,5664250,10:49:18,00:14:31,11:03:49
60,45,5664250,10:58:23,00:07:58,11:06:21
33,33,5751430,10:02:49,01:04:03,11:06:52
68,32,5126030,11:00:28,00:07:42,11:08:10
84,174,5529760,10:57:38,00:10:47,11:08:25
34,174,5664250,10:55:23,00:13:26,11:08:49
8,19,6042050,10:44:25,00:28:21,11:12:46
116,93,3126850,10:42:21,00:30:27,11:12:48
174,23,5664250,11:03:01,00:10:09,11:13:10
64,38,5810010,11:03:28,00:10:43,11:14:11
76,106,3126850,11:04:29,00:12:19,11:16:48
1,22,5810010,11:06:03,00:11:54,11:17:57
106,17,3126850,10:58:48,00:20:15,11:19:03
8,149,5925780,11:10:39,00:08:39,11:19:18
174,23,5751430,10:56:13,00:23:37,11:19:50
18,34,5731900,10:53:05,00:28:53,11:21:58
83,95,6042050,10:55:19,00:28:15,11:23:34
32,68,5126030,11:16:01,00:07:45,11:23:46
7,32,5126030,11:16:34,00:07:26,11:24:00
68,32,5126030,10:07:50,01:16:33,11:24:23
11,32,5817340,11:12:20,00:12:41,11:25:01
4,26,4917160,11:17:17,00:08:25,11:25:42
9,33,2796960,10:36:15,00:50:49,11:27:04
30,22,5810010,11:17:26,00:09:38,11:27:04
16,57,5923390,11:21:27,00:07:25,11:28:52
174,23,5664250,11:18:44,00:10:46,11:29:30
82,70,5965780,11:14:04,00:15:33,11:29:37
186,83,4841520,11:13:17,00:16:38,11:29:55
154,174,5072780,10:58:25,00:31:35,11:30:00
137,16,6070370,11:22:47,00:07:20,11:30:07
120,199,5605040,11:00:23,00:29:46,11:30:09
97,149,3892850,11:01:41,00:28:35,11:30:16
1,22,5810010,11:21:41,00:08:44,11:30:25
34,174,5664250,11:20:41,00:10:23,11:31:04
150,1,6200670,11:06:20,00:24:49,11:31:09
59,161,2701320,11:20:00,00:11:16,11:31:16
194,110,5377800,11:21:25,00:11:36,11:33:01
59,161,2701320,11:21:31,00:11:33,11:33:04
154,174,5072780,11:12:33,00:20:32,11:33:05
4,111,5343240,11:10:06,00:23:02,11:33:08
1,22,5810010,11:23:57,00:10:15,11:34:12
19,1,5509730,11:15:59,00:18:41,11:34:40
68,32,5126030,11:26:02,00:09:02,11:35:04
59,161,2701320,11:27:52,00:07:58,11:35:50
1,22,5810010,11:27:29,00:08:38,11:36:07
59,161,2701320,11:25:45,00:10:53,11:36:38
59,161,2701320,11:25:01,00:12:50,11:37:51
39,75,4300980,11:25:38,00:12:45,11:38:23
174,23,5664250,11:28:56,00:10:09,11:39:05
59,161,2701320,11:31:05,00:08:37,11:39:42
23,33,5751430,11:23:40,00:16:25,11:40:05
96,165,5338480,11:31:40,00:08:54,11:40:34
101,94,6155360,11:30:09,00:11:20,11:41:29
59,161,2701320,11:31:09,00:10:28,11:41:37
163,32,6394240,11:26:06,00:15:34,11:41:40
1,22,5810010,11:31:31,00:10:26,11:41:57
1,115,5313860,11:34:58,00:07:14,11:42:12
174,8,6248700,11:29:49,00:12:45,11:42:34
119,119,5810010,11:37:12,00:05:57,11:43:09
38,33,5751430,11:32:16,00:11:00,11:43:16
156,156,6171530,11:35:16,00:08:05,11:43:21
1,22,5810010,11:33:56,00:09:25,11:43:21
188,67,6109620,11:22:05,00:21:52,11:43:57
30,115,5925780,11:18:57,00:25:09,11:44:06
