estacion_origen,estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada,id_bici
110,66,4979870,02:04:27,00:46:20,02:50:47,1020
31,90,6029990,02:11:23,00:40:32,02:51:55,1184
13,25,4926290,02:48:19,00:14:22,03:02:41,4057
9,160,5993630,03:02:01,00:10:35,03:12:36,5212
69,180,4661990,02:57:08,00:15:33,03:12:41,5036
86,166,5255420,02:32:04,00:47:27,03:19:31,6732
1,144,5876170,03:06:16,00:16:59,03:23:15,2582
170,170,5255420,02:26:09,00:58:36,03:24:45,2257
181,17,4306090,03:18:57,00:08:14,03:27:11,5763
142,66,6029990,03:16:43,00:12:30,03:29:13,6303
160,183,5204590,02:09:51,01:20:55,03:30:46,4898
194,150,6286710,02:48:05,00:45:17,03:33:22,3758
186,180,4661990,03:27:02,00:09:16,03:36:18,5003
166,170,5255420,03:29:13,00:09:14,03:38:27,4256
1,44,6286710,02:54:13,00:47:02,03:41:15,1215
144,28,5876170,03:28:31,00:19:21,03:47:52,3298
8,86,5374960,03:11:38,00:45:58,03:57:36,1039
194,123,6286710,03:48:01,00:13:02,04:01:03,2227
83,138,4973300,03:29:58,00:34:11,04:04:09,3670
166,170,5255420,03:56:16,00:10:52,04:07:08,4099
44,5,6286710,03:54:10,00:14:04,04:08:14,1334
166,86,5255420,03:26:40,00:43:02,04:09:42,5225
66,123,6286710,04:11:27,00:10:25,04:21:52,4104
66,123,6286710,04:07:49,00:16:06,04:23:55,5770
8,147,5518610,03:42:50,00:42:48,04:25:38,2414
150,150,6286710,03:50:27,00:46:54,04:37:21,8768
33,33,6227110,03:46:38,00:53:29,04:40:07,1057
124,160,5993630,04:30:30,00:10:06,04:40:36,4708
194,123,6286710,04:40:21,00:11:32,04:51:53,3622
59,116,5380140,04:39:11,00:15:38,04:54:49,6937
150,150,6286710,04:03:12,00:53:20,04:56:32,1589
46,46,4989650,04:35:59,00:28:32,05:04:31,6144
71,68,6232990,02:37:43,02:31:17,05:09:00,6841
170,166,5255420,04:59:54,00:15:11,05:15:05,4813
103,144,5876170,03:35:15,01:41:14,05:16:29,1613
150,82,6286710,04:54:14,00:32:35,05:26:49,1654
8,183,5614190,05:35:18,00:08:09,05:43:27,6011
68,163,5350780,05:27:58,00:17:28,05:45:26,4087
82,123,6286710,05:47:08,00:11:21,05:58:29,6365
82,123,6286710,05:47:23,00:12:02,05:59:25,3999
150,82,6286710,05:20:45,00:38:59,05:59:44,2736
166,170,5255420,05:50:22,00:16:37,06:06:59,3693
8,13,5581460,06:15:25,00:07:53,06:23:18,7618
143,113,5812600,06:19:57,00:13:50,06:33:47,8899
13,78,6152670,06:14:25,00:24:10,06:38:35,7285
163,78,6152670,06:14:42,00:26:39,06:41:21,2977
13,78,6152670,06:16:47,00:26:43,06:43:30,2543
163,78,6152670,06:19:52,00:24:55,06:44:47,3051
163,78,6152670,06:13:46,00:31:07,06:44:53,4357
82,123,6286710,06:31:16,00:13:49,06:45:05,7462
13,78,6152670,06:19:40,00:26:52,06:46:32,2416
143,113,5812600,06:38:14,00:11:24,06:49:38,4818
123,82,6286710,06:36:42,00:13:36,06:50:18,6855
13,78,6152670,06:20:45,00:29:33,06:50:18,8110
66,113,5812600,06:42:39,00:07:59,06:50:38,5206
163,78,6152670,06:28:06,00:24:41,06:52:47,7193
80,144,5876170,06:30:47,00:23:00,06:53:47,7172
13,78,6152670,06:28:23,00:26:46,06:55:09,6371
143,113,5812600,06:42:59,00:12:15,06:55:14,2273
126,72,6037820,06:37:05,00:19:56,06:57:01,4831
126,16,6037820,06:35:58,00:21:07,06:57:05,4876
88,78,6152670,06:33:08,00:26:31,06:59:39,5372
88,78,6152670,06:25:45,00:33:58,06:59:43,8057
143,113,5812600,06:49:51,00:12:17,07:02:08,3701
126,16,6037820,06:38:10,00:26:11,07:04:21,8514
143,113,5812600,06:49:59,00:14:29,07:04:28,6303
88,78,6152670,06:33:14,00:32:54,07:06:08,3289
29,17,4306090,06:59:02,00:10:03,07:09:05,7903
28,157,5876170,07:09:11,00:22:00,07:31:11,2644
143,113,5812600,07:18:27,00:12:46,07:31:13,5717
143,113,5812600,07:19:43,00:12:44,07:32:27,7834
82,123,6286710,07:18:56,00:14:45,07:33:41,1575
66,43,4979870,07:23:28,00:10:16,07:33:44,1676
76,71,6176840,06:57:37,00:38:19,07:35:56,5930
8,131,6439620,07:19:43,00:16:21,07:36:04,8797
61,11,5173100,07:26:19,00:11:13,07:37:32,7031
66,43,4979870,07:29:15,00:08:42,07:37:57,6536
87,131,6439620,07:06:20,00:31:56,07:38:16,2801
143,113,5812600,07:26:18,00:13:15,07:39:33,4661
52,113,5812600,07:28:23,00:13:00,07:41:23,7597
66,33,4979870,07:33:11,00:09:28,07:42:39,6559
61,11,5173100,07:29:18,00:13:21,07:42:39,4980
61,11,5173100,07:30:20,00:12:31,07:42:51,4980
110,113,5812600,07:33:06,00:09:53,07:42:59,3557
87,131,6439620,07:02:40,00:41:17,07:43:57,6160
87,131,6439620,07:00:00,00:44:03,07:44:03,1697
143,113,5812600,07:33:34,00:11:30,07:45:04,4619
52,113,5812600,07:29:04,00:16:18,07:45:22,7368
61,11,5173100,07:32:04,00:13:33,07:45:37,2122
126,16,6037820,06:29:14,01:16:25,07:45:39,4167
87,131,6439620,06:59:21,00:46:59,07:46:20,5897
87,131,6439620,07:02:12,00:44:26,07:46:38,4649
143,113,5812600,07:34:12,00:13:10,07:47:22,4069
52,113,5812600,07:34:38,00:14:15,07:48:53,7786
80,131,6439620,07:09:59,00:40:03,07:50:02,5754
87,131,6439620,07:07:45,00:42:47,07:50:32,2711
3,11,5173100,07:34:23,00:16:16,07:50:39,7551
87,131,6439620,07:17:39,00:33:03,07:50:42,7442
87,131,6439620,07:04:51,00:45:54,07:50:45,8867
52,113,5812600,07:36:10,00:14:57,07:51:07,1879
143,113,5812600,07:37:55,00:13:16,07:51:11,5633
80,131,6439620,07:12:35,00:39:42,07:52:17,5628
143,113,5812600,07:39:07,00:13:18,07:52:25,7311
3,11,5173100,07:37:21,00:16:39,07:54:00,8333
87,131,6439620,07:04:22,00:49:42,07:54:04,2686
126,16,6037820,07:30:59,00:23:14,07:54:13,5734
1,130,5145690,07:46:59,00:08:03,07:55:02,2543
161,45,5901700,07:41:30,00:14:14,07:55:44,8238
80,131,6439620,07:12:58,00:43:04,07:56:02,5378
52,113,5812600,07:46:03,00:11:47,07:57:50,3110
3,11,5173100,07:43:18,00:15:03,07:58:21,5453
110,113,5812600,07:49:14,00:10:17,07:59:31,2416
52,113,5812600,07:47:04,00:12:52,07:59:56,5734
8,126,5581460,07:39:50,00:20:29,08:00:19,7110
52,113,5812600,07:44:26,00:16:07,08:00:33,3790
61,11,5173100,07:48:00,00:12:48,08:00:48,5715
50,13,5588080,07:41:01,00:20:11,08:01:12,6130
61,71,5173100,07:50:10,00:11:07,08:01:17,4180
50,13,5588080,07:41:51,00:19:43,08:01:34,3283
52,113,5812600,07:44:16,00:17:20,08:01:36,8331
1,2,5145690,07:53:08,00:08:45,08:01:53,2166
61,71,5173100,07:41:25,00:21:10,08:02:35,1807
3,11,5173100,07:45:06,00:17:59,08:03:05,1412
143,113,5812600,07:52:04,00:11:12,08:03:16,7225
143,113,5812600,07:51:21,00:12:20,08:03:41,7920
66,123,6286710,07:56:20,00:07:33,08:03:53,1458
35,1,5145690,07:55:18,00:08:37,08:03:55,1593
172,152,5974280,07:48:40,00:15:20,08:04:00,6896
143,113,5812600,07:52:27,00:12:16,08:04:43,6011
61,11,5173100,07:50:21,00:14:45,08:05:06,5093
88,93,5350780,07:54:48,00:10:21,08:05:09,4654
52,113,5812600,07:53:30,00:13:12,08:06:42,1253
172,150,5974280,07:55:16,00:11:29,08:06:45,6045
66,33,4979870,07:58:27,00:08:58,08:07:25,5734
110,113,5812600,07:57:29,00:10:05,08:07:34,6924
32,11,5173100,08:00:58,00:07:18,08:08:16,8078
66,113,5812600,08:00:52,00:07:45,08:08:37,1648
66,113,5812600,08:02:07,00:07:38,08:09:45,7031
61,11,5173100,07:56:21,00:13:58,08:10:19,4596
61,11,5173100,07:59:33,00:10:56,08:10:29,3942
110,113,5812600,07:58:59,00:12:52,08:11:51,4963
3,11,5173100,07:57:50,00:14:41,08:12:31,4022
143,113,5812600,07:58:42,00:14:02,08:12:44,6525
52,113,5812600,07:56:40,00:16:16,08:12:56,8612
3,11,5173100,08:00:10,00:13:33,08:13:43,8026
161,45,5901700,08:02:44,00:13:10,08:15:54,2909
143,113,5812600,08:07:03,00:10:23,08:17:26,2617
29,45,5901700,07:58:51,00:18:53,08:17:44,5377
3,11,5173100,08:02:10,00:16:13,08:18:23,1467
33,66,4979870,08:07:08,00:12:29,08:19:37,8595
29,45,5901700,07:57:32,00:22:36,08:20:08,1613
29,68,5901700,07:58:43,00:21:27,08:20:10,2323
148,72,5385110,08:06:15,00:16:33,08:22:48,5742
143,113,5812600,08:08:53,00:14:10,08:23:03,2270
33,66,4979870,08:11:45,00:11:37,08:23:22,8004
69,90,2990120,08:16:34,00:07:05,08:23:39,3719
50,13,5588080,07:52:24,00:32:48,08:25:12,5101
52,113,5812600,08:06:20,00:19:08,08:25:28,3955
50,13,5588080,08:07:04,00:19:51,08:26:55,8004
33,144,4979870,08:19:23,00:07:35,08:26:58,8713
143,59,4306090,08:16:26,00:10:37,08:27:03,3954
29,45,5901700,08:03:51,00:23:54,08:27:45,2515
29,45,5901700,08:06:17,00:22:30,08:28:47,1123
72,126,6037820,08:11:48,00:16:59,08:28:47,1686
171,66,4979870,08:15:48,00:13:40,08:29:28,6318
66,113,5812600,08:20:23,00:09:09,08:29:32,6183
33,66,4979870,08:17:08,00:12:33,08:29:41,6940
93,31,5622220,08:00:34,00:30:47,08:31:21,4598
29,45,5901700,08:10:22,00:21:59,08:32:21,5387
29,45,5901700,08:07:54,00:24:38,08:32:32,2478
50,13,5588080,08:10:37,00:22:02,08:32:39,3363
33,66,4979870,08:21:46,00:11:53,08:33:39,1367
96,45,5901700,08:22:03,00:12:31,08:34:34,3696
50,13,5588080,08:12:22,00:23:07,08:35:29,7877
69,90,2990120,08:28:53,00:07:09,08:36:02,5580
50,13,5588080,08:03:06,00:33:15,08:36:21,8595
156,165,3395300,08:13:44,00:24:03,08:37:47,7115
89,186,5588080,08:05:49,00:32:51,08:38:40,2081
8,13,5581460,08:29:17,00:09:32,08:38:49,1330
43,66,4979870,08:25:04,00:14:17,08:39:21,5633
17,83,4306090,08:24:26,00:15:31,08:39:57,4708
61,71,5173100,08:24:26,00:15:33,08:39:59,3252
160,2,6231120,08:15:22,00:24:37,08:39:59,1413
187,87,5003530,08:31:56,00:08:42,08:40:38,7870
82,68,5901700,08:23:00,00:17:57,08:40:57,7316
144,31,5622220,08:24:12,00:19:15,08:43:27,2893
131,1,5145690,08:35:13,00:08:35,08:43:48,5176
61,11,5173100,08:31:58,00:12:26,08:44:24,7524
146,31,5622220,08:20:35,00:24:06,08:44:41,2793
89,13,5588080,08:27:01,00:17:55,08:44:56,5893
8,173,5422850,08:29:27,00:16:18,08:45:45,2686
183,29,5614190,08:21:56,00:24:31,08:46:27,5216
8,173,5422850,08:32:06,00:14:30,08:46:36,1455
17,19,4306090,08:15:30,00:31:37,08:47:07,1914
17,19,4306090,08:22:31,00:24:54,08:47:25,2913
197,66,4979870,08:29:01,00:18:26,08:47:27,2090
171,45,6187460,08:37:18,00:10:10,08:47:28,4849
61,11,5173100,08:38:38,00:10:10,08:48:48,4528
141,173,5422850,08:36:02,00:13:27,08:49:29,5309
77,173,5422850,08:35:27,00:14:03,08:49:30,3846
39,173,5422850,08:34:28,00:15:28,08:49:56,4214
75,173,5422850,08:36:28,00:14:08,08:50:36,4301
123,56,6286710,08:41:38,00:09:00,08:50:38,5620
8,173,5422850,08:39:08,00:11:57,08:51:05,8982
52,19,4306090,08:24:31,00:26:43,08:51:14,1980
77,173,5422850,08:37:15,00:14:34,08:51:49,5958
146,199,5077210,08:29:59,00:22:01,08:52:00,8331
75,173,5422850,08:36:35,00:17:19,08:53:54,2840
8,173,5422850,08:40:55,00:13:59,08:54:54,4656
50,13,5588080,08:11:31,00:44:01,08:55:32,3523
50,13,5588080,08:19:01,00:36:49,08:55:50,7339
17,19,4306090,08:34:56,00:23:35,08:58:31,6445
69,90,2990120,08:50:04,00:09:12,08:59:16,6940
52,19,4306090,08:34:49,00:25:17,09:00:06,3352
57,132,5173100,08:51:07,00:09:11,09:00:18,7687
9,13,5588080,08:42:27,00:18:47,09:01:14,5362
68,173,5422850,08:48:23,00:13:59,09:02:22,2731
17,19,4306090,08:38:03,00:24:20,09:02:23,5391
52,19,4306090,08:37:50,00:24:53,09:02:43,5017
131,1,5145690,08:55:04,00:08:06,09:03:10,4700
69,129,6259900,08:46:57,00:16:17,09:03:14,1685
17,19,4306090,08:37:13,00:26:12,09:03:25,2013
180,124,4661990,08:38:50,00:24:43,09:03:33,5825
52,113,5812600,08:44:42,00:19:30,09:04:12,5799
33,110,4979870,08:45:51,00:18:22,09:04:13,7037
100,125,2545670,08:54:16,00:10:35,09:04:51,6928
144,165,2705610,08:55:59,00:10:20,09:06:19,6715
75,173,5422850,08:49:17,00:17:50,09:07:07,8447
155,39,6066320,08:36:34,00:31:48,09:08:22,5522
33,66,4979870,08:56:08,00:12:27,09:08:35,2376
110,100,5745010,08:57:19,00:12:21,09:09:40,6047
160,103,2545670,08:58:21,00:13:10,09:11:31,5067
39,33,5422850,08:56:31,00:16:10,09:12:41,4447
1,131,5145690,09:07:25,00:07:02,09:14:27,3686
17,19,4306090,08:42:08,00:34:22,09:16:30,1306
160,156,2545670,09:06:08,00:10:33,09:16:41,1088
17,39,4306090,08:53:37,00:23:14,09:16:51,5942
17,19,4306090,08:54:41,00:24:31,09:19:12,4809
160,103,2545670,09:03:17,00:16:14,09:19:31,7442
96,19,4306090,08:58:16,00:21:17,09:19:33,2937
171,38,4306090,09:08:48,00:11:31,09:20:19,2636
155,39,6066320,08:49:13,00:31:43,09:20:56,5183
155,39,6066320,08:49:50,00:31:21,09:21:11,2072
167,134,5003530,08:50:55,00:30:44,09:21:39,2893
2,1,4205820,09:11:50,00:09:49,09:21:39,2066
125,9,5119190,09:05:32,00:17:44,09:23:16,8522
9,13,5588080,09:04:10,00:19:22,09:23:32,6540
148,112,5537860,09:13:56,00:10:14,09:24:10,7655
160,103,2545670,09:12:43,00:12:12,09:24:55,6733
148,39,6066320,09:06:10,00:20:15,09:26:25,7051
17,38,4306090,09:02:56,00:23:53,09:26:49,2306
187,87,5003530,09:20:54,00:07:11,09:28:05,1531
8,76,5204590,09:20:46,00:08:39,09:29:25,8536
17,19,4306090,08:37:04,00:53:15,09:30:19,6375
155,39,6066320,08:55:04,00:35:16,09:30:20,8668
148,112,5537860,09:22:26,00:09:24,09:31:50,4057
131,1,4205820,09:24:03,00:09:20,09:33:23,4262
155,39,6066320,09:01:04,00:32:30,09:33:34,4069
161,169,5003530,09:16:15,00:17:51,09:34:06,2840
181,159,4975210,09:20:04,00:15:03,09:35:07,6680
155,39,6066320,09:05:40,00:29:37,09:35:17,3279
33,77,5422850,09:17:26,00:17:53,09:35:19,3734
197,197,5003530,09:09:22,00:26:40,09:36:02,3766
17,19,4306090,09:06:26,00:30:21,09:36:47,2173
155,39,6066320,09:07:45,00:29:46,09:37:31,8740
17,19,4306090,09:07:23,00:31:14,09:38:37,1699
155,39,6066320,09:07:47,00:31:23,09:39:10,7315
181,43,4979870,09:27:33,00:12:09,09:39:42,6980
37,53,4571260,09:29:01,00:10:52,09:39:53,5724
112,112,5537860,09:31:27,00:10:54,09:42:21,6518
125,9,5119190,09:19:58,00:22:59,09:42:57,1764
33,170,5255420,09:29:43,00:13:51,09:43:34,3230
178,87,4661990,09:33:09,00:11:05,09:44:14,5622
155,39,6066320,09:13:43,00:32:29,09:46:12,2476
8,8,5054910,09:38:54,00:07:39,09:46:33,5307
160,103,2545670,09:35:31,00:12:05,09:47:36,5367
3,11,5173100,09:26:32,00:23:08,09:49:40,6722
61,11,5173100,09:41:43,00:09:02,09:50:45,1479
131,1,4205820,09:39:10,00:13:31,09:52:41,2389
101,144,5745010,09:28:28,00:24:36,09:53:04,4931
2,1,4205820,09:43:44,00:09:21,09:53:05,4708
189,11,5752210,09:36:28,00:17:57,09:54:25,1259
155,39,6066320,09:22:21,00:33:21,09:55:42,2210
187,134,5003530,09:21:31,00:34:45,09:56:16,2849
155,120,5077210,09:37:54,00:18:40,09:56:34,2993
76,33,5422850,09:43:12,00:13:52,09:57:04,5748
93,11,5523410,09:38:17,00:19:41,09:57:58,3194
61,11,5173100,07:59:17,01:59:47,09:59:04,4802
66,33,4979870,09:40:50,00:18:19,09:59:09,4505
125,9,5119190,09:43:53,00:15:22,09:59:15,5498
134,188,5003530,09:40:02,00:21:57,10:01:59,3655
150,6,5974280,09:50:40,00:13:12,10:03:52,2165
61,11,5173100,09:57:59,00:11:00,10:08:59,6861
75,13,5422850,09:58:49,00:10:22,10:09:11,1081
82,9,5577370,09:56:30,00:12:56,10:09:26,6277
112,62,5537860,09:38:50,00:32:00,10:10:50,5108
23,40,5801990,09:54:08,00:18:11,10:12:19,7339
36,19,5801990,10:01:23,00:13:59,10:15:22,1417
110,66,4979870,10:02:29,00:13:20,10:15:49,5872
69,90,2990120,10:09:56,00:07:20,10:17:16,3634
33,76,5422850,10:04:09,00:13:12,10:17:21,5762
187,80,5003530,09:57:01,00:21:06,10:18:07,8189
66,110,4979870,10:02:22,00:16:13,10:18:35,5379
129,188,4444490,10:06:32,00:12:17,10:18:49,6516
125,190,5119190,10:06:14,00:13:10,10:19:24,3814
40,19,5801990,10:13:08,00:07:39,10:20:47,2547
112,16,5537860,09:38:55,00:44:14,10:23:09,4709
141,64,5614190,10:06:43,00:18:11,10:24:54,5931
24,135,5526670,10:09:02,00:16:35,10:25:37,4952
69,1,5745010,10:07:26,00:18:17,10:25:43,5310
125,66,5119190,10:08:56,00:16:54,10:25:50,7234
98,98,5537860,10:00:31,00:25:38,10:26:09,3562
61,11,5173100,10:14:40,00:11:41,10:26:21,4876
5,95,5518610,09:45:08,00:41:19,10:26:27,4488
27,33,5145690,10:17:25,00:09:29,10:26:54,4133
197,197,5003530,09:33:56,00:53:01,10:26:57,4507
167,179,5597870,09:20:11,01:08:47,10:28:58,1350
112,62,5537860,10:10:06,00:21:08,10:31:14,8317
66,33,4979870,10:22:02,00:09:14,10:31:16,7504
16,1,6037820,10:11:28,00:19:57,10:31:25,4229
98,11,5537860,10:22:16,00:09:40,10:31:56,3412
61,11,5173100,10:20:41,00:12:07,10:32:48,8271
66,29,4979870,10:16:28,00:16:26,10:32:54,6045
82,123,6286710,10:16:19,00:16:47,10:33:06,6633
40,19,5801990,10:26:08,00:07:09,10:33:17,3419
60,42,5537860,10:14:41,00:18:38,10:33:19,3525
125,9,5119190,10:16:15,00:17:18,10:33:33,1253
1,1,4205820,10:22:18,00:11:32,10:33:50,5110
